SEQID	Genome size	circ.	Coverage	Completeness	Contamination	classification	simple_classification	Species	Phylum	Genus	5S ribosomal RNA	16S ribosomal RNA	23S ribosomal RNA	# 5S rRNA/16S rRNA / 23S rRNA	Number_of_tRNA	Contigs	Passed_assembly_QC	Assembly_QC_reason	In_bac120_MSA	N_bac120_markers	In_bac120_tree	Tree_exclusion_reason	AntiSMASH_failure	AntiSMASH_OK	GenomeQ	ID	inhibit Enterococcus mundtii DSM 4838	inhibit Enterobacter mori DSM 26271	inhibit Staphylococcus epidermidis AU 24	inhibit Escherichia coli DSM 498	inhibit Pseudomonas putida DSM 6125	inhibit Acinetobacter baylyi DSM 14961	inhibit Staphylococcus aureus DSM 20231
PAQ89233.barcode13	135103	N	25	99.99	0.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	3	1	0	3/1/0	24	394	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	SILK2023-Gr3-AC-6	1	1	1	1	1	1	1
PAQ89233.barcode14	75995	N	16	99.47	2.12	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp050272295	Bacillota - g__Lysinibacillus	Lysinibacillus sp050272295	p__Bacillota	g__Lysinibacillus	5	3	3	5/3/3	24	375	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	PAD2023-Gr3-AC-17	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode15	2336940	N	74	100	0.05	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	Bacillota - g__Bacillus	Bacillus subtilis	p__Bacillota	g__Bacillus	8	9	9	8/9/9	24	2	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	SILK2023-Gr3-AC-5	0	0	0	1	0	0	0
PAQ89233.barcode16	336197	N	48	100	4.74	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus terrae_A	Bacillota - g__Paenibacillus	Paenibacillus terrae_A	p__Bacillota	g__Paenibacillus	5	6	6	5/6/6	24	100	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	FJER2023-Gr4-AC-4	1	1	0	1	1	1	0
PAQ89233.barcode17	106422	N	22	100	0.63	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	1	1	1	1/1/1	22	345	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	AAGV2022-Gr1-AC-16	0	0	0	0	0	0	0
PAQ89233.barcode18	6243446	Y	51	100	0.09	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp.	p__Pseudomonadota	g__Aquipseudomonas	7	6	6	7/6/6	26	2	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	AAGV2022-Gr2-AC-4	1	0	1	0	1	1	0
PAQ89233.barcode20	131449	N	25	99.99	2.49	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	Bacillota - g__Staphylococcus	Staphylococcus aureus	p__Bacillota	g__Staphylococcus	2	1	1	2/1/1	23	107	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	EGAA2023-Gr10-AC-16	1	0	1	0	1	1	1
PAQ89233.barcode21	97817	N	14	88.28	1.5	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus	Bacillota - g__Paenibacillus	Paenibacillus amylolyticus	p__Bacillota	g__Paenibacillus	3	2	3	3/2/3	16	492	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	HJØRSTX2023-Gr2-AC-2	0	0	0	0	0	0	0
PAQ89233.barcode22	3690699	Y	81	99.22	0.11	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium;s__Curtobacterium flaccumfaciens	Actinomycetota - g__Curtobacterium	Curtobacterium flaccumfaciens	p__Actinomycetota	g__Curtobacterium	3	3	3	3/3/3	23	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	VHG2023-Gr11-AC-5	1	1	0	1	0	1	0
PAQ89233.barcode23	4023008	Y	75	100	4.62	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Plantibacter;s__Plantibacter auratus	Actinomycetota - g__Plantibacter	Plantibacter auratus	p__Actinomycetota	g__Plantibacter	2	2	2	2/2/2	22	17	TRUE	NA	TRUE	114	TRUE	NA	NA	TRUE	High quality genome	PADE2023-Gr3-AC-6	1	0	0	0	0	0	0
PAQ89233.barcode24	4023016	Y	42	100	14.15	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Plantibacter;s__Plantibacter auratus	Actinomycetota - g__Plantibacter	Plantibacter auratus	p__Actinomycetota	g__Plantibacter	6	3	3	6/3/3	25	293	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	AAGV2022-Gr1-AC-8	1	1	1	1	1	1	1
PAQ89233.barcode26	132833	N	30	97.4	2.02	d__Bacteria;p__Bacillota;c__Bacilli;o__Brevibacillales;f__Brevibacillaceae;g__Brevibacillus_B;s__Brevibacillus_B laterosporus_D	Bacillota - g__Brevibacillus_B	Brevibacillus_B laterosporus_D	p__Bacillota	g__Brevibacillus_B	7	8	4	7/8/4	24	353	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HJØREUC2023-Gr3-AC-1	1	0	1	1	1	1	1
PAQ89233.barcode27	1032229	N	49	100	1.45	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__	Actinomycetota - g__Arthrobacter	Arthrobacter sp.	p__Actinomycetota	g__Arthrobacter	4	6	5	4/6/5	23	18	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	MARSANNE2022-Gr2-AC-10	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode30	1491755	N	11	100	30.78	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Curtobacterium;s__Curtobacterium flaccumfaciens	Actinomycetota - g__Curtobacterium	Curtobacterium flaccumfaciens	p__Actinomycetota	g__Curtobacterium	12	13	12	12/13/12	26	220	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	EGAA2023-Gr1-AC-12	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode31	17927	N	7	16.83	0.32	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	2	1	1	2/1/1	18	160	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	FJER2023-Gr7-AC-18	0	0	0	0	0	0	1
PAQ89233.barcode32	42011	N	10	58.34	0.99	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus sp050274955	Bacillota - g__Peribacillus	Peribacillus sp050274955	p__Bacillota	g__Peribacillus	3	1	3	3/1/3	18	251	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	VHG2023-Gr6-AC-1	1	0	1	0	0	1	1
PAQ89233.barcode33	874746	N	54	100	0.23	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis	Bacillota - g__Bacillus	Bacillus subtilis	p__Bacillota	g__Bacillus	7	7	7	7/7/7	24	25	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	VHG2023-Gr6-AC-7	0	0	1	0	0	0	1
PAQ89233.barcode34	1153905	N	52	100	0.45	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	11	11	12	11/11/12	24	29	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	EGAA2023-Gr3-AC-2	1	0	1	1	1	1	1
PAQ89233.barcode36	399082	N	35	100	0.46	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	11	4	2	11/4/2	24	170	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HJØREUC2023-Gr2-AC-14	1	1	1	1	1	1	1
PAQ89233.barcode37	15673	N	8	13.47	0.14	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	1	1	1	1/1/1	23	103	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	EGAA2023-Gr2-AC-8	1	0	0	0	0	1	1
PAQ89233.barcode38	136232	N	36	100	1.34	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	Bacillota - g__Staphylococcus	Staphylococcus aureus	p__Bacillota	g__Staphylococcus	4	4	3	4/4/3	24	74	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	EGAA2023-Gr10-AC-18	1	0	1	0	1	1	1
PAQ89233.barcode39	4017688	Y	80	100	0.06	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis	Bacillota - g__Bacillus	Bacillus velezensis	p__Bacillota	g__Bacillus	9	9	9	9/9/9	26	1	TRUE	NA	TRUE	115	TRUE	NA	NA	TRUE	High quality genome	EGAA2023-Gr4-AC-9	0	0	1	1	0	1	0
PAQ89233.barcode40	6669777	Y	47	100	0.82	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas sp002303925	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp002303925	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	25	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	EGAA2023-Gr8-AC-17	1	1	0	0	1	1	0
PAQ89233.barcode41	6935610	Y	43	100	0.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas lyxosi	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas lyxosi	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	26	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	STG2023-Gr1-ISP2-7	0	0	0	0	1	1	0
PAQ89233.barcode42	2273420	N	35	100	0.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas neuropathica	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas neuropathica	p__Pseudomonadota	g__Aquipseudomonas	6	6	6	6/6/6	26	6	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	FJER2023-Gr6-ISP2-12	1	0	1	0	1	1	0
PAQ89233.barcode44	6114063	N	51	100	0.93	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas fulgida	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas fulgida	p__Pseudomonadota	g__Aquipseudomonas	6	5	5	6/5/5	24	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	HJØSTX2023-Gr3-ISP2-3	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode45	196078	N	18	99.97	1.72	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia plymuthica	Pseudomonadota - g__Serratia	Serratia plymuthica	p__Pseudomonadota	g__Serratia	2	1	2	2/1/2	25	243	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	STG2023-Gr1-ISP2-14	1	1	1	1	0	1	1
PAQ89233.barcode46	60366	N	11	84.67	0.49	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia plymuthica	Pseudomonadota - g__Serratia	Serratia plymuthica	p__Pseudomonadota	g__Serratia	4	1	1	4/1/1	24	426	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	STG2023-Gr1-ISP2-18	1	1	1	1	0	1	1
PAQ89233.barcode48	24207	N	6	32.51	1.46	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	2	1	1	2/1/1	18	226	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	HASS2023-Gr6-ISP2-12	1	0	0	0	0	0	0
PAQ89233.barcode49	23091	N	5	12.6	0.07	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	1	1	1	1/1/1	0	120	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	HASS2023-Gr6-ISP2-11	0	0	0	0	0	0	0
PAQ89233.barcode50	43411	N	17	79.13	4.29	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	1	1	1	1/1/1	23	611	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	HASS2023-Gr6-ISP2-14	1	0	1	0	0	0	0
PAQ89233.barcode52	24923	N	7	31.6	0.86	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus butanolivorans	Bacillota - g__Peribacillus	Peribacillus butanolivorans	p__Bacillota	g__Peribacillus	0	2	1	0/2/1	4	200	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	VHG2023-Gr2-ISP2-17	1	0	1	0	0	0	0
PAQ89233.barcode53	116271	N	20	92.31	1.61	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus frigoritolerans	Bacillota - g__Peribacillus	Peribacillus frigoritolerans	p__Bacillota	g__Peribacillus	8	7	3	8/7/3	24	302	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	FJE2023-Gr2-LB-1	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode54	43552	N	11	69.26	0.85	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus butanolivorans	Bacillota - g__Peribacillus	Peribacillus butanolivorans	p__Bacillota	g__Peribacillus	2	1	1	2/1/1	23	301	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	MARSANNE2022-Gr2-LB-17	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode55	6673619	N	46	100	0.38	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas fluorescens_BH	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas fluorescens_BH	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	25	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	MARSANNE2022-Gr2-LB-16	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode56	6854052	N	45	100	0.27	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas fluorescens_BH	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas fluorescens_BH	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	25	1	TRUE	NA	TRUE	117	TRUE	NA	NA	TRUE	High quality genome	MARSANNE2022-Gr1-LB-11	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode57	6276349	Y	48	100	0.86	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas sp002303925	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp002303925	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	25	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	MARSANNE2022-Gr1-LB-10	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode58	145236	N	10	91.57	4.49	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus butanolivorans	Bacillota - g__Peribacillus	Peribacillus butanolivorans	p__Bacillota	g__Peribacillus	5	3	6	5/3/6	25	337	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	MARSANNE2022-Gr2-LB-15	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode59	404483	N	22	100	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus amylolyticus	Bacillota - g__Paenibacillus	Paenibacillus amylolyticus	p__Bacillota	g__Paenibacillus	3	4	4	3/4/4	25	164	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	MARS2023-Gr5-LB-16	0	0	1	1	0	1	1
PAQ89233.barcode60	199060	N	22	99.96	5.13	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus butanolivorans	Bacillota - g__Peribacillus	Peribacillus butanolivorans	p__Bacillota	g__Peribacillus	7	6	6	7/6/6	25	311	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	DRON2023-Gr6-LB-9	1	0	1	1	1	0	1
PAQ89233.barcode62	23056	N	6	39.75	0.53	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	1	3	1	1/3/1	19	239	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	HJØEUC2023-Gr4-LB-15	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode63	577011	N	41	100	4.92	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	12	14	14	12/14/14	25	207	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	VHG2023-Gr4-BHI-4	1	0	1	1	0	1	1
PAQ89233.barcode64	2229798	N	55	100	8.84	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus sp050272295	Bacillota - g__Lysinibacillus	Lysinibacillus sp050272295	p__Bacillota	g__Lysinibacillus	12	11	10	12/11/10	24	204	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	VHG2023-Gr5-BHI-13	0	0	0	0	1	1	0
PAQ89233.barcode65	222323	N	24	99.99	0.16	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex_A	Bacillota - g__Peribacillus	Peribacillus simplex_A	p__Bacillota	g__Peribacillus	8	7	8	8/7/8	25	161	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	SILK2023-Gr2-BHI-5	1	0	1	1	0	1	0
PAQ89233.barcode66	1608007	N	64	99.76	0.03	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Sporosarcina;s__	Bacillota - g__Sporosarcina	Sporosarcina sp.	p__Bacillota	g__Sporosarcina	9	8	7	9/8/7	25	7	TRUE	NA	TRUE	116	TRUE	NA	NA	TRUE	High quality genome	VHG2023-Gr4-BHI-16	0	1	1	1	1	0	0
PAQ89233.barcode67	6354560	N	49	100	0.18	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas monachiensis	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas monachiensis	p__Pseudomonadota	g__Aquipseudomonas	8	7	7	8/7/7	26	1	TRUE	NA	TRUE	118	TRUE	NA	NA	TRUE	High quality genome	EGAA2023-Gr3-BHI-20	1	0	1	0	1	1	1
PAQ89233.barcode68	8487338	N	34	99.9	0.38	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces celluloflavus	Actinomycetota - g__Streptomyces	Streptomyces celluloflavus	p__Actinomycetota	g__Streptomyces	7	7	7	7/7/7	22	2	TRUE	NA	TRUE	112	TRUE	NA	NA	TRUE	High quality genome	VIBO2022-Gr1-BHI-3	1	1	0	1	1	1	1
PAQ89233.barcode69	3755841	N	24	98.38	0.31	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces celluloflavus	Actinomycetota - g__Streptomyces	Streptomyces celluloflavus	p__Actinomycetota	g__Streptomyces	6	7	7	6/7/7	22	9	TRUE	NA	TRUE	111	TRUE	NA	NA	TRUE	High quality genome	VIBO2022-Gr1-BHI-2	1	1	0	1	1	1	1
PAQ89233.barcode70	6935582	Y	40	100	61.59	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Aquipseudomonas;s__Aquipseudomonas sp002874965	Pseudomonadota - g__Aquipseudomonas	Aquipseudomonas sp002874965	p__Pseudomonadota	g__Aquipseudomonas	22	18	20	22/18/20	27	55	FALSE	contamination>=5;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	EGAA2023-Gr6-BHI-2	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode73	19307	N	5	21.61	1.2	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	4	1	1	4/1/1	16	148	FALSE	completeness<90;contigs>20;size<1500000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Low quality genome	MARS2023-Gr1-AC-3	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode74	4404517	N	40	100	0.08	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A toyonensis	Bacillota - g__Bacillus_A	Bacillus_A toyonensis	p__Bacillota	g__Bacillus_A	15	12	14	15/12/14	24	15	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	VHG2023-Gr6-AC-1	1	0	1	0	0	1	1
PAQ89233.barcode75	940205	N	47	100	0.79	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus polymyxa_B	Bacillota - g__Paenibacillus	Paenibacillus polymyxa_B	p__Bacillota	g__Paenibacillus	14	13	14	14/13/14	23	20	TRUE	NA	TRUE	110	TRUE	NA	NA	TRUE	High quality genome	EGAA2023-Gr3-AC-11	1	1	1	1	1	1	1
PAQ89233.barcode76	166361	N	15	99.83	0.2	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	7	6	7	7/6/7	25	317	FALSE	contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	High quality genome	HJØRSTX2023-Gr1-AC-20	1	0	0	0	1	0	0
PAQ89233.barcode78	4659808	N	44	99.95	1	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Micrococcaceae;g__Paeniglutamicibacter;s__Paeniglutamicibacter kerguelensis	Actinomycetota - g__Paeniglutamicibacter	Paeniglutamicibacter kerguelensis	p__Actinomycetota	g__Paeniglutamicibacter	7	6	6	7/6/6	24	7	TRUE	NA	TRUE	119	TRUE	NA	NA	TRUE	High quality genome	NA	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode79	6935981	Y	16	100	91.8	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Oerskovia;s__Oerskovia jenensis	Actinomycetota - g__Oerskovia	Oerskovia jenensis	p__Actinomycetota	g__Oerskovia	19	16	16	19/16/16	27	93	FALSE	contamination>=5;contigs>20;size>15000000;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Unannotated genomes	NA	NA	NA	NA	NA	NA	NA	NA
PAQ89233.barcode80	48638	N	12	78.71	1.98	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae_G;g__Bacillus_A;s__Bacillus_A mycoides	Bacillota - g__Bacillus_A	Bacillus_A mycoides	p__Bacillota	g__Bacillus_A	3	5	2	3/5/2	22	443	FALSE	completeness<90;contigs>20;	NA	NA	FALSE	failed_assembly_qc	NA	TRUE	Medium quality genome	NA	NA	NA	NA	NA	NA	NA	NA
