sample	assembly_qc	assembly_qc_reason	in_bac120_msa	n_bac120_markers	n_bac120_missing	in_bac120_tree	tree_exclusion_reason
PBI66098.barcode02	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode03	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode04	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode05	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode06	PASS	-	TRUE	117	0	TRUE	-
PBI66098.barcode07	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode08	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode09	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode10	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode11	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode12	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode13	PASS	-	TRUE	117	2	TRUE	-
PBI66098.barcode14	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode15	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode16	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode17	PASS	-	TRUE	111	0	TRUE	-
PBI66098.barcode18	FAIL	completeness<90;contigs>20;size<1500000;	NA			FALSE	failed_assembly_qc
PBI66098.barcode20	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode21	PASS	-	TRUE	117	2	TRUE	-
PBI66098.barcode22	PASS	-	TRUE	117	2	TRUE	-
PBI66098.barcode23	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode24	PASS	-	TRUE	110	0	TRUE	-
PBI66098.barcode25	PASS	-	TRUE	118	1	TRUE	-
PBI66098.barcode26	PASS	-	TRUE	110	0	TRUE	-
PBI66098.barcode27	PASS	-	TRUE	118	1	TRUE	-
PBI66098.barcode28	PASS	-	TRUE	118	1	TRUE	-
PBI66098.barcode29	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode30	PASS	-	TRUE	116	1	TRUE	-
PBI66098.barcode31	PASS	-	TRUE	118	1	TRUE	-
PBI66098.barcode32	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode33	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode34	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode35	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode36	PASS	-	TRUE	109	0	TRUE	-
PBI66098.barcode37	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode38	PASS	-	TRUE	118	0	TRUE	-
PBI66098.barcode39	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode40	PASS	-	TRUE	110	0	TRUE	-
PBI66098.barcode41	PASS	-	TRUE	118	1	TRUE	-
PBI66098.barcode42	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode43	PASS	-	TRUE	118	0	TRUE	-
PBI66098.barcode44	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode45	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode46	PASS	-	TRUE	118	0	TRUE	-
PBI66098.barcode47	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode48	PASS	-	TRUE	111	0	TRUE	-
PBI66098.barcode50	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode51	PASS	-	TRUE	117	2	TRUE	-
PBI66098.barcode52	FAIL	contamination>=5;	NA			FALSE	failed_assembly_qc
PBI66098.barcode53	FAIL	completeness<90;contigs>20;size<1500000;	NA			FALSE	failed_assembly_qc
PBI66098.barcode54	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode55	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode56	PASS	-	TRUE	119	0	TRUE	-
PBI66098.barcode57	PASS	-	TRUE	115	0	TRUE	-
PBI66098.barcode58	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode59	PASS	-	TRUE	118	0	TRUE	-
PBI66098.barcode60	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode61	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode62	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode63	PASS	-	TRUE	116	0	TRUE	-
PBI66098.barcode64	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode65	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode66	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode67	PASS	-	TRUE	110	0	TRUE	-
PBI66098.barcode68	PASS	-	TRUE	118	0	TRUE	-
PBI66098.barcode69	PASS	-	TRUE	118	0	TRUE	-
PBI66098.barcode70	PASS	-	TRUE	108	2	TRUE	-
PBI66098.barcode71	PASS	-	TRUE	116	0	TRUE	-
PBI66098.barcode72	PASS	-	TRUE	115	0	TRUE	-
PBI66098.barcode73	PASS	-	TRUE	110	0	TRUE	-
PBI66098.barcode74	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode76	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66098.barcode77	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode79	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode80	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode81	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode82	PASS	-	TRUE	118	0	TRUE	-
PBI66098.barcode83	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode84	PASS	-	TRUE	111	0	TRUE	-
PBI66098.barcode85	PASS	-	TRUE	110	0	TRUE	-
PBI66098.barcode87	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode88	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode89	PASS	-	TRUE	115	0	TRUE	-
PBI66098.barcode90	PASS	-	TRUE	114	0	TRUE	-
PBI66098.barcode91	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode92	PASS	-	TRUE	111	0	TRUE	-
PBI66098.barcode93	PASS	-	TRUE	113	0	TRUE	-
PBI66098.barcode94	PASS	-	TRUE	115	0	TRUE	-
PBI66098.barcode95	PASS	-	TRUE	112	0	TRUE	-
PBI66098.barcode96	PASS	-	TRUE	113	0	TRUE	-
PBI66519.barcode01	PASS	-	TRUE	107	0	TRUE	-
PBI66519.barcode02	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode03	PASS	-	TRUE	113	0	TRUE	-
PBI66519.barcode04	PASS	-	TRUE	118	2	TRUE	-
PBI66519.barcode05	FAIL	contamination>=5;	NA			FALSE	failed_assembly_qc
PBI66519.barcode06	PASS	-	TRUE	120	0	TRUE	-
PBI66519.barcode07	PASS	-	TRUE	118	2	TRUE	-
PBI66519.barcode08	PASS	-	TRUE	113	0	TRUE	-
PBI66519.barcode09	PASS	-	TRUE	112	0	TRUE	-
PBI66519.barcode10	PASS	-	TRUE	110	0	TRUE	-
PBI66519.barcode11	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode12	PASS	-	TRUE	108	0	TRUE	-
PBI66519.barcode13	PASS	-	TRUE	111	0	TRUE	-
PBI66519.barcode14	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode15	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode16	PASS	-	TRUE	110	0	TRUE	-
PBI66519.barcode17	PASS	-	TRUE	116	0	TRUE	-
PBI66519.barcode18	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode20	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode21	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode23	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode24	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode25	PASS	-	TRUE	119	0	TRUE	-
PBI66519.barcode26	FAIL	contamination>=5;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode27	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode28	PASS	-	TRUE	119	0	TRUE	-
PBI66519.barcode29	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode30	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode31	FAIL	completeness<90;contigs>20;size<1500000;	NA			FALSE	failed_assembly_qc
PBI66519.barcode32	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode33	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode34	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode35	PASS	-	TRUE	112	0	TRUE	-
PBI66519.barcode36	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode37	FAIL	completeness<90;contigs>20;size<1500000;	NA			FALSE	failed_assembly_qc
PBI66519.barcode38	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode39	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode40	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode41	PASS	-	TRUE	116	0	TRUE	-
PBI66519.barcode42	PASS	-	TRUE	113	0	TRUE	-
PBI66519.barcode43	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode44	PASS	-	TRUE	117	2	TRUE	-
PBI66519.barcode45	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode46	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode47	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode48	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode49	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode50	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode51	FAIL	completeness<90;contamination>=5;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode52	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode53	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode54	FAIL	completeness<90;size<1500000;	NA			FALSE	failed_assembly_qc
PBI66519.barcode55	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode56	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode57	FAIL	completeness<90;contamination>=5;contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode58	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode60	PASS	-	TRUE	116	0	TRUE	-
PBI66519.barcode61	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode62	PASS	-	TRUE	119	0	TRUE	-
PBI66519.barcode63	PASS	-	TRUE	114	3	TRUE	-
PBI66519.barcode64	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode65	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode66	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode67	PASS	-	TRUE	114	0	TRUE	-
PBI66519.barcode68	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode69	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode70	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode71	PASS	-	TRUE	112	0	TRUE	-
PBI66519.barcode72	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode73	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode74	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode76	PASS	-	TRUE	118	1	TRUE	-
PBI66519.barcode77	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode79	PASS	-	TRUE	116	0	TRUE	-
PBI66519.barcode80	PASS	-	TRUE	118	2	TRUE	-
PBI66519.barcode81	PASS	-	TRUE	110	0	TRUE	-
PBI66519.barcode82	PASS	-	TRUE	110	0	TRUE	-
PBI66519.barcode83	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode84	PASS	-	TRUE	115	0	TRUE	-
PBI66519.barcode85	PASS	-	TRUE	116	0	TRUE	-
PBI66519.barcode86	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode87	PASS	-	TRUE	116	0	TRUE	-
PBI66519.barcode88	PASS	-	TRUE	109	0	TRUE	-
PBI66519.barcode89	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode90	PASS	-	TRUE	110	0	TRUE	-
PBI66519.barcode91	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBI66519.barcode92	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode93	PASS	-	TRUE	120	0	TRUE	-
PBI66519.barcode94	PASS	-	TRUE	117	0	TRUE	-
PBI66519.barcode95	PASS	-	TRUE	107	0	TRUE	-
PBI66519.barcode96	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode01	PASS	-	TRUE	110	0	TRUE	-
PBK85545.barcode02	PASS	-	TRUE	119	0	TRUE	-
PBK85545.barcode03	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode04	PASS	-	TRUE	117	1	TRUE	-
PBK85545.barcode05	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode06	PASS	-	TRUE	110	0	TRUE	-
PBK85545.barcode07	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode08	PASS	-	TRUE	111	0	TRUE	-
PBK85545.barcode09	PASS	-	TRUE	111	0	TRUE	-
PBK85545.barcode10	PASS	-	TRUE	112	0	TRUE	-
PBK85545.barcode11	PASS	-	TRUE	118	1	TRUE	-
PBK85545.barcode12	PASS	-	TRUE	117	0	TRUE	-
PBK85545.barcode13	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode14	PASS	-	TRUE	118	1	TRUE	-
PBK85545.barcode15	PASS	-	TRUE	112	0	TRUE	-
PBK85545.barcode16	FAIL	contamination>=5;contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode17	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode18	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode19	PASS	-	TRUE	113	0	TRUE	-
PBK85545.barcode20	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode21	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode23	PASS	-	TRUE	118	0	TRUE	-
PBK85545.barcode24	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode25	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode26	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode27	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode28	PASS	-	TRUE	119	0	TRUE	-
PBK85545.barcode29	PASS	-	TRUE	120	0	TRUE	-
PBK85545.barcode30	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode31	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode32	PASS	-	TRUE	111	0	TRUE	-
PBK85545.barcode33	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode34	PASS	-	TRUE	116	1	TRUE	-
PBK85545.barcode35	PASS	-	TRUE	118	1	TRUE	-
PBK85545.barcode36	PASS	-	TRUE	119	1	TRUE	-
PBK85545.barcode37	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode38	PASS	-	TRUE	107	0	TRUE	-
PBK85545.barcode39	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode40	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode41	PASS	-	TRUE	117	0	TRUE	-
PBK85545.barcode42	PASS	-	TRUE	118	0	TRUE	-
PBK85545.barcode43	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode44	PASS	-	TRUE	109	0	TRUE	-
PBK85545.barcode45	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode46	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode47	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode48	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode49	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode50	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode51	PASS	-	TRUE	113	0	TRUE	-
PBK85545.barcode52	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode53	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode54	PASS	-	TRUE	119	1	TRUE	-
PBK85545.barcode55	PASS	-	TRUE	117	0	TRUE	-
PBK85545.barcode56	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode57	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode58	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode59	PASS	-	TRUE	113	0	TRUE	-
PBK85545.barcode60	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode61	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode62	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode63	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode64	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode65	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode66	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode67	PASS	-	TRUE	115	0	TRUE	-
PBK85545.barcode68	PASS	-	TRUE	115	1	TRUE	-
PBK85545.barcode69	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode70	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode71	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode72	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode73	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode74	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode75	PASS	-	TRUE	113	0	TRUE	-
PBK85545.barcode77	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode79	PASS	-	TRUE	117	0	TRUE	-
PBK85545.barcode80	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode81	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode82	PASS	-	TRUE	109	0	TRUE	-
PBK85545.barcode83	PASS	-	TRUE	114	0	TRUE	-
PBK85545.barcode84	PASS	-	TRUE	113	0	TRUE	-
PBK85545.barcode85	PASS	-	TRUE	109	0	TRUE	-
PBK85545.barcode86	FAIL	contigs>20;	NA			FALSE	failed_assembly_qc
PBK85545.barcode87	PASS	-	TRUE	112	0	TRUE	-
PBK85545.barcode88	PASS	-	TRUE	118	0	TRUE	-
PBK85545.barcode89	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode90	PASS	-	TRUE	117	0	TRUE	-
PBK85545.barcode91	PASS	-	TRUE	117	0	TRUE	-
PBK85545.barcode92	PASS	-	TRUE	116	0	TRUE	-
PBK85545.barcode93	PASS	-	TRUE	117	0	TRUE	-
PBK85545.barcode94	PASS	-	TRUE	113	0	TRUE	-
PBK85545.barcode95	PASS	-	TRUE	111	1	TRUE	-
PBK85545.barcode96	FAIL	completeness<90;contigs>20;	NA			FALSE	failed_assembly_qc
