sample	completeness	contamination	contigs	total_bp	status	reason
PBI66098.barcode35	100.00	0.47	10	5770459	PASS	-
PBI66098.barcode36	100.00	2.47	10	6623609	PASS	-
PBI66098.barcode37	89.88	2.02	562	5587126	FAIL	completeness<90;contigs>20;
PBI66098.barcode38	100.00	0.11	2	3459996	PASS	-
PBI66098.barcode39	100.00	0.64	1	6180055	PASS	-
PBI66098.barcode40	100.00	0.46	3	5873480	PASS	-
PBI66098.barcode41	100.00	0.18	1	5433484	PASS	-
PBI66098.barcode42	100.00	0.58	1	6096377	PASS	-
PBI66098.barcode43	99.96	0.00	1	2445660	PASS	-
PBI66098.barcode44	99.85	0.92	165	5381720	FAIL	contigs>20;
PBI66098.barcode45	100.00	1.09	49	5379481	FAIL	contigs>20;
PBI66098.barcode46	100.00	0.18	2	2776596	PASS	-
PBI66098.barcode47	100.00	0.12	2	5367378	PASS	-
PBI66098.barcode48	100.00	0.09	1	5980430	PASS	-
PBI66098.barcode50	100.00	2.00	23	5793622	FAIL	contigs>20;
PBI66098.barcode51	100.00	0.68	1	6736894	PASS	-
PBI66098.barcode52	100.00	6.75	6	6360566	FAIL	contamination>=5;
PBI66098.barcode53	8.94	0.02	145	500321	FAIL	completeness<90;contigs>20;size<1500000;
PBI66098.barcode54	100.00	3.46	198	6207821	FAIL	contigs>20;
PBI66098.barcode55	100.00	0.58	1	6041082	PASS	-
PBI66098.barcode56	99.99	0.58	1	6041437	PASS	-
PBI66098.barcode57	100.00	0.00	5	9648874	PASS	-
PBI66098.barcode58	100.00	0.67	63	8920795	FAIL	contigs>20;
PBI66098.barcode59	99.99	0.17	3	2455897	PASS	-
PBI66098.barcode60	100.00	2.74	21	6418882	FAIL	contigs>20;
PBI66098.barcode61	100.00	0.08	2	5380583	PASS	-
PBI66098.barcode62	100.00	3.89	31	6073413	FAIL	contigs>20;
PBI66098.barcode63	100.00	0.01	1	3990852	PASS	-
PBI66098.barcode64	74.91	1.44	510	4612494	FAIL	completeness<90;contigs>20;
PBI66098.barcode65	100.00	2.10	13	6061569	PASS	-
PBI66098.barcode66	100.00	0.64	1	6180055	PASS	-
PBI66098.barcode67	100.00	0.39	2	5783236	PASS	-
PBI66098.barcode68	100.00	0.06	3	2560052	PASS	-
PBI66098.barcode69	99.96	0.00	1	2445656	PASS	-
PBI66098.barcode70	100.00	3.58	8	8107005	PASS	-
PBI66098.barcode71	99.95	0.00	6	7052052	PASS	-
PBI66098.barcode72	100.00	0.68	3	9275009	PASS	-
PBI66098.barcode73	100.00	0.44	9	5882232	PASS	-
PBI66098.barcode74	100.00	0.56	1	7459050	PASS	-
PBI66098.barcode76	100.00	3.31	164	7123498	FAIL	contigs>20;
PBI66098.barcode77	100.00	0.81	1	6161505	PASS	-
PBI66098.barcode79	99.88	0.74	1	5026010	PASS	-
PBI66098.barcode80	100.00	0.29	1	4992772	PASS	-
PBI66098.barcode81	100.00	0.48	1	5590805	PASS	-
PBI66098.barcode82	100.00	0.25	5	2647049	PASS	-
PBI66098.barcode83	100.00	0.21	1	7158185	PASS	-
PBI66098.barcode84	100.00	0.00	19	6617924	PASS	-
PBI66098.barcode85	100.00	0.14	9	5750794	PASS	-
PBI66098.barcode87	100.00	1.29	8	13107403	PASS	-
PBI66098.barcode88	100.00	0.67	6	8996024	PASS	-
PBI66098.barcode89	99.99	0.23	7	8396529	PASS	-
PBI66098.barcode90	100.00	0.66	7	8990178	PASS	-
PBI66098.barcode91	99.99	1.35	4	10398585	PASS	-
PBI66098.barcode92	100.00	1.51	2	9180496	PASS	-
PBI66098.barcode93	99.99	0.16	11	9109578	PASS	-
PBI66098.barcode94	100.00	0.47	7	8400937	PASS	-
PBI66098.barcode95	100.00	1.02	8	10264137	PASS	-
PBI66098.barcode96	100.00	1.62	13	12351936	PASS	-
PBI66519.barcode01	99.93	3.09	2	8169755	PASS	-
PBI66519.barcode02	99.99	2.07	30	5157967	FAIL	contigs>20;
PBI66519.barcode03	98.87	0.00	3	5163985	PASS	-
PBI66519.barcode04	99.97	0.15	2	5171806	PASS	-
PBI66519.barcode05	100.00	84.81	4	5935198	FAIL	contamination>=5;
PBI66519.barcode06	100.00	0.11	1	3962342	PASS	-
PBI66519.barcode07	99.93	0.33	1	3600844	PASS	-
PBI66519.barcode08	100.00	0.15	5	5449668	PASS	-
PBI66519.barcode09	100.00	0.44	2	5526599	PASS	-
PBI66519.barcode10	100.00	0.69	4	5921547	PASS	-
PBI66519.barcode11	100.00	0.00	4	3755288	PASS	-
PBI66519.barcode12	100.00	0.58	7	6060424	PASS	-
PBI66519.barcode13	100.00	0.17	1	9082077	PASS	-
PBI66519.barcode14	100.00	0.24	11	7886454	PASS	-
PBI66519.barcode15	100.00	0.03	1	7659990	PASS	-
PBI66519.barcode16	100.00	0.28	8	5891296	PASS	-
PBI66519.barcode17	100.00	0.20	4	9138360	PASS	-
PBI66519.barcode18	100.00	1.16	14	8740957	PASS	-
PBI66519.barcode20	100.00	0.15	4	6431249	PASS	-
PBI66519.barcode21	99.99	0.45	2	8782423	PASS	-
PBI66519.barcode23	100.00	1.21	10	8744223	PASS	-
PBI66519.barcode24	100.00	1.21	10	8743434	PASS	-
PBI66519.barcode25	100.00	0.12	16	4971730	PASS	-
PBI66519.barcode26	96.11	6.07	870	5466466	FAIL	contamination>=5;contigs>20;
PBI66519.barcode27	89.93	4.70	520	5127198	FAIL	completeness<90;contigs>20;
PBI66519.barcode28	100.00	0.11	9	5923606	PASS	-
PBI66519.barcode29	100.00	0.59	283	9170713	FAIL	contigs>20;
PBI66519.barcode30	100.00	0.70	4	10930738	PASS	-
PBI66519.barcode31	6.89	0.01	92	338510	FAIL	completeness<90;contigs>20;size<1500000;
PBI66519.barcode32	100.00	1.09	176	9395476	FAIL	contigs>20;
PBI66519.barcode33	100.00	0.05	14	10547311	PASS	-
PBI66519.barcode34	99.99	4.94	516	9510455	FAIL	contigs>20;
PBI66519.barcode35	100.00	0.86	3	5484425	PASS	-
PBI66519.barcode36	100.00	0.03	1	3764506	PASS	-
PBI66519.barcode37	4.45	0.00	51	212146	FAIL	completeness<90;contigs>20;size<1500000;
PBI66519.barcode38	100.00	0.91	50	6408553	FAIL	contigs>20;
PBI66519.barcode39	100.00	0.55	9	9103340	PASS	-
PBI66519.barcode40	99.99	0.14	3	8953027	PASS	-
PBI66519.barcode41	100.00	0.49	9	9715876	PASS	-
PBI66519.barcode42	100.00	0.88	5	5074570	PASS	-
PBI66519.barcode43	95.27	3.28	1162	9152836	FAIL	contigs>20;
PBI66519.barcode44	100.00	0.46	1	6979650	PASS	-
PBI66519.barcode45	100.00	0.19	2	6356416	PASS	-
PBI66519.barcode46	86.36	2.49	687	4882355	FAIL	completeness<90;contigs>20;
PBI66519.barcode47	100.00	0.11	1	5325595	PASS	-
PBI66519.barcode48	100.00	0.07	3	5510541	PASS	-
PBI66519.barcode49	100.00	1.94	23	6090333	FAIL	contigs>20;
PBI66519.barcode50	100.00	0.12	1	5453743	PASS	-
PBI66519.barcode51	87.43	5.75	639	6064757	FAIL	completeness<90;contamination>=5;contigs>20;
PBI66519.barcode52	81.55	1.68	1165	7069203	FAIL	completeness<90;contigs>20;
PBI66519.barcode53	94.95	3.04	1222	8595581	FAIL	contigs>20;
PBI66519.barcode54	5.02	0.00	1	3081	FAIL	completeness<90;size<1500000;
PBI66519.barcode55	100.00	0.90	3	6497539	PASS	-
PBI66519.barcode56	100.00	0.12	1	5453740	PASS	-
PBI66519.barcode57	89.58	6.40	1611	8397816	FAIL	completeness<90;contamination>=5;contigs>20;
PBI66519.barcode58	99.63	1.24	183	6543475	FAIL	contigs>20;
PBI66519.barcode60	99.96	0.01	2	7320538	PASS	-
PBI66519.barcode61	100.00	0.78	6	8211199	PASS	-
PBI66519.barcode62	100.00	0.17	1	6417788	PASS	-
PBI66519.barcode63	99.98	0.28	6	7679955	PASS	-
PBI66519.barcode64	100.00	0.18	54	8643140	FAIL	contigs>20;
PBI66519.barcode65	100.00	0.12	1	5591265	PASS	-
PBI66519.barcode66	100.00	1.21	107	11138370	FAIL	contigs>20;
PBI66519.barcode67	100.00	0.55	19	8226950	PASS	-
PBI66519.barcode68	100.00	0.13	1	6159569	PASS	-
PBI66519.barcode69	99.95	1.40	115	5721217	FAIL	contigs>20;
PBI66519.barcode70	94.27	3.14	755	5684909	FAIL	contigs>20;
PBI66519.barcode71	100.00	0.48	3	5605675	PASS	-
PBI66519.barcode72	100.00	0.64	16	10962793	PASS	-
PBI66519.barcode73	100.00	0.53	116	10463835	FAIL	contigs>20;
PBI66519.barcode74	100.00	1.33	388	13313532	FAIL	contigs>20;
PBI66519.barcode76	100.00	0.82	2	7480110	PASS	-
PBI66519.barcode77	100.00	0.60	12	9189232	PASS	-
PBI66519.barcode79	100.00	0.42	3	8976578	PASS	-
PBI66519.barcode80	100.00	0.03	1	4109739	PASS	-
PBI66519.barcode81	100.00	0.52	8	5692897	PASS	-
PBI66519.barcode82	100.00	0.55	6	6108513	PASS	-
PBI66519.barcode83	100.00	0.23	4	7849479	PASS	-
PBI66519.barcode84	100.00	1.03	8	9362984	PASS	-
PBI66519.barcode85	100.00	0.43	5	9024089	PASS	-
PBI66519.barcode86	100.00	0.03	21	5818163	FAIL	contigs>20;
PBI66519.barcode87	99.94	0.01	8	8537830	PASS	-
PBI66519.barcode88	100.00	0.00	14	5599683	PASS	-
PBI66519.barcode89	100.00	0.18	11	7487249	PASS	-
PBI66519.barcode90	100.00	0.25	16	5725492	PASS	-
PBI66519.barcode91	100.00	0.12	22	7797528	FAIL	contigs>20;
PBI66519.barcode92	100.00	0.13	6	8748517	PASS	-
PBI66519.barcode93	99.68	0.10	6	4457659	PASS	-
PBI66519.barcode94	100.00	0.38	2	8817521	PASS	-
PBI66519.barcode95	100.00	4.45	2	8166149	PASS	-
PBI66519.barcode96	100.00	0.78	22	9222795	FAIL	contigs>20;
PBK85545.barcode01	100.00	0.46	5	5757464	PASS	-
PBK85545.barcode02	100.00	0.30	1	6109266	PASS	-
PBK85545.barcode03	100.00	3.09	10	9912199	PASS	-
PBK85545.barcode04	100.00	0.14	1	7166790	PASS	-
PBK85545.barcode05	100.00	0.09	2	4105374	PASS	-
PBK85545.barcode06	100.00	0.47	3	5867035	PASS	-
PBK85545.barcode07	100.00	2.76	208	5864531	FAIL	contigs>20;
PBK85545.barcode08	100.00	0.18	2	6149996	PASS	-
PBK85545.barcode09	100.00	0.26	4	6198277	PASS	-
PBK85545.barcode10	100.00	1.87	4	4531228	PASS	-
PBK85545.barcode11	100.00	0.41	1	6544165	PASS	-
PBK85545.barcode12	100.00	0.05	2	3776809	PASS	-
PBK85545.barcode13	100.00	0.28	2	3943777	PASS	-
PBK85545.barcode14	100.00	0.31	1	6376531	PASS	-
PBK85545.barcode15	100.00	1.29	3	9948863	PASS	-
PBK85545.barcode16	100.00	92.62	33	12904109	FAIL	contamination>=5;contigs>20;
PBK85545.barcode17	100.00	1.05	165	8807044	FAIL	contigs>20;
PBK85545.barcode18	100.00	0.30	3	8922305	PASS	-
PBK85545.barcode19	99.99	1.80	10	10317707	PASS	-
PBK85545.barcode20	100.00	0.04	8	9317986	PASS	-
PBK85545.barcode21	100.00	0.88	2	9126673	PASS	-
PBK85545.barcode23	99.99	0.29	2	8125873	PASS	-
PBK85545.barcode24	100.00	0.16	2	8889625	PASS	-
PBK85545.barcode25	100.00	0.21	55	9146107	FAIL	contigs>20;
PBK85545.barcode26	100.00	0.19	13	9165599	PASS	-
PBK85545.barcode27	100.00	0.05	144	9625551	FAIL	contigs>20;
PBK85545.barcode28	100.00	1.58	3	7839132	PASS	-
PBK85545.barcode29	99.99	0.17	1	3655211	PASS	-
PBK85545.barcode30	100.00	1.67	2	11289716	PASS	-
PBK85545.barcode31	100.00	0.83	2	7220540	PASS	-
PBK85545.barcode32	100.00	0.46	6	6021186	PASS	-
PBK85545.barcode33	98.95	1.14	99	9187503	FAIL	contigs>20;
PBK85545.barcode34	100.00	0.41	3	9054177	PASS	-
PBK85545.barcode35	100.00	0.42	2	7102875	PASS	-
PBK85545.barcode36	100.00	0.09	1	5830488	PASS	-
PBK85545.barcode37	99.99	0.72	5	8525021	PASS	-
PBK85545.barcode38	100.00	1.05	5	6923189	PASS	-
PBK85545.barcode39	99.96	0.03	2	8981509	PASS	-
PBK85545.barcode40	99.98	0.76	4	7808664	PASS	-
PBK85545.barcode41	100.00	0.18	5	7920437	PASS	-
PBK85545.barcode42	100.00	0.04	2	2545304	PASS	-
PBK85545.barcode43	100.00	2.00	4	10306722	PASS	-
PBK85545.barcode44	100.00	0.21	13	7275545	PASS	-
PBK85545.barcode45	100.00	0.11	115	10870432	FAIL	contigs>20;
PBK85545.barcode46	99.97	0.08	14	7726237	PASS	-
PBK85545.barcode47	100.00	0.75	2	8776008	PASS	-
PBK85545.barcode48	99.98	0.64	2	8995876	PASS	-
PBK85545.barcode49	100.00	0.97	4	11153571	PASS	-
PBK85545.barcode50	100.00	0.47	22	9432879	FAIL	contigs>20;
PBK85545.barcode51	100.00	0.01	6	10307771	PASS	-
PBK85545.barcode52	100.00	0.28	126	9672600	FAIL	contigs>20;
PBK85545.barcode53	99.98	0.02	4	7543650	PASS	-
PBK85545.barcode54	100.00	0.09	1	5828729	PASS	-
PBK85545.barcode55	100.00	0.21	4	8166708	PASS	-
PBK85545.barcode56	100.00	0.00	8	10267257	PASS	-
PBK85545.barcode57	100.00	0.36	6	9534813	PASS	-
PBK85545.barcode58	100.00	2.28	287	8961221	FAIL	contigs>20;
PBK85545.barcode59	100.00	0.77	3	9498506	PASS	-
PBK85545.barcode60	99.99	0.75	180	9693839	FAIL	contigs>20;
PBK85545.barcode61	100.00	0.00	79	7878049	FAIL	contigs>20;
PBK85545.barcode62	100.00	0.14	54	9291379	FAIL	contigs>20;
PBK85545.barcode63	100.00	0.55	10	10814219	PASS	-
PBK85545.barcode64	100.00	0.18	3	9326575	PASS	-
PBK85545.barcode65	100.00	2.32	5	9619659	PASS	-
PBK85545.barcode66	100.00	2.38	2	9585466	PASS	-
PBK85545.barcode67	100.00	0.42	2	8884500	PASS	-
PBK85545.barcode68	99.99	0.41	7	7455026	PASS	-
PBK85545.barcode69	100.00	0.60	17	8628485	PASS	-
PBK85545.barcode70	100.00	0.30	5	8904139	PASS	-
PBK85545.barcode71	99.98	1.53	752	12348222	FAIL	contigs>20;
PBK85545.barcode72	100.00	0.79	8	10342559	PASS	-
PBK85545.barcode73	99.99	0.85	12	8818341	PASS	-
PBK85545.barcode74	100.00	0.26	8	8933822	PASS	-
PBK85545.barcode75	100.00	0.07	3	8036318	PASS	-
PBK85545.barcode77	100.00	2.25	392	11678361	FAIL	contigs>20;
PBK85545.barcode79	100.00	0.24	4	7756321	PASS	-
PBK85545.barcode80	100.00	0.02	4	8953434	PASS	-
PBK85545.barcode81	99.27	0.28	264	7553683	FAIL	contigs>20;
PBK85545.barcode82	100.00	0.34	6	6015634	PASS	-
PBK85545.barcode83	99.99	0.53	2	10761344	PASS	-
PBK85545.barcode84	99.99	1.80	3	10305696	PASS	-
PBK85545.barcode85	97.38	3.40	6	10875146	PASS	-
PBK85545.barcode86	100.00	0.39	72	9427801	FAIL	contigs>20;
PBK85545.barcode87	100.00	0.26	1	6044465	PASS	-
PBK85545.barcode88	100.00	0.27	3	2599022	PASS	-
PBK85545.barcode89	100.00	0.12	4	4196346	PASS	-
PBK85545.barcode90	100.00	0.18	5	9174186	PASS	-
PBK85545.barcode91	100.00	0.11	6	8999499	PASS	-
PBK85545.barcode92	100.00	0.21	4	9176147	PASS	-
PBK85545.barcode93	100.00	0.30	1	8612968	PASS	-
PBK85545.barcode94	100.00	0.31	2	8794015	PASS	-
PBK85545.barcode95	100.00	1.85	3	9145468	PASS	-
PBK85545.barcode96	43.66	4.76	609	3872240	FAIL	completeness<90;contigs>20;
